ref	hebrew	draft_gloss
Job 23:1	וַ/יַּ֥עַן אִיּ֗וֹב וַ/יֹּאמַֽר	עָנָה 316 vb אִיּוֹב n אָמַר 5287 vb
Job 23:2	גַּם הַ֭/יּוֹם מְרִ֣י שִׂחִ֑/י יָ֝דִ֗/י כָּבְדָ֥ה עַל אַנְחָתִֽ/י	גַּם 768 adv יוֹם 2285 n מְרִי n שִׂיחַ n יָד 1604 n כָּבֵד vb עַל, עָ֑ל subst אֲנָחָה n
Job 23:3	מִֽי יִתֵּ֣ן יָ֭דַעְתִּי וְ/אֶמְצָאֵ֑/הוּ אָ֝ב֗וֹא עַד תְּכוּנָתֽ/וֹ	מִי 423 pron נָתַן 2007 vb יָדַע 943 vb מָצָא 452 vb בּוֹא 2569 vb עַד, in poetry עֲדֵי prep תְּכוּנָה n
Job 23:4	אֶעֶרְכָ֣ה לְ/פָנָ֣י/ו מִשְׁפָּ֑ט וּ֝/פִ֗/י אֲמַלֵּ֥א תוֹכָחֽוֹת	עָרַךְ vb [פָּנֶה], pl מִשְׁפָּט 422 n פֶּה 485 n מָלֵא 249 vb תּוֹכַ֫חַת n
Job 23:5	אֵ֭דְעָה מִלִּ֣ים יַעֲנֵ֑/נִי וְ֝/אָבִ֗ינָה מַה יֹּ֥אמַר לִֽ/י	יָדַע 943 vb מִלָּה n עָנָה 316 vb בִּין vb מָה, rarely מָה־, מַה־, מַה‍ּ, מֶה, מַ‍ּ, מָ—pron אָמַר 5287 vb לְ prep
Job 23:6	הַ/בְּ/רָב כֹּ֭חַ יָרִ֣יב עִמָּדִ֑/י לֹ֥א אַךְ ה֝֗וּא יָשִׂ֥ם בִּֽ/י	רַב 429 adj כֹּחַ and כּוֹחַ n רִיב vb עִם prep לֹא or לוֹא adv אַךְ 159 adv הוּא m שׂוּמָה perhaps n בְּ prep
Job 23:7	שָׁ֗ם יָ֭שָׁר נוֹכָ֣ח עִמּ֑/וֹ וַ/אֲפַלְּטָ֥ה לָ֝/נֶ֗צַח מִ/שֹּׁפְטִֽ/י	שָׁם adv יָשָׁר adj [יָכַח] vb עִם prep [פָּלַט] vb נֵ֫צַח n שָׁפַט 185 vb
Job 23:8	הֵ֤ן קֶ֣דֶם אֶהֱלֹ֣ךְ וְ/אֵינֶ֑/נּוּ וְ֝/אָח֗וֹר וְֽ/לֹא אָבִ֥ין לֽ/וֹ	הֵן 100 demonstr קֶ֫דֶם n הָלַךְ 1546 vb אַ֫יִן, אָ֑֫יִן cstr אָחוֹר 41 subst לֹא or לוֹא adv בִּין vb לְ prep
Job 23:9	שְׂמֹ֣אול בַּ/עֲשֹׂת֣/וֹ וְ/לֹא אָ֑חַז יַעְטֹ֥ף יָ֝מִ֗ין וְ/לֹ֣א אֶרְאֶֽה	שְׂמֹאל, שְׂמֹאול 54 n [עָשָׂה] vb לֹא or לוֹא adv חָזָה vb [עָטַף] vb יָמִין 137 n לֹא or לוֹא adv רָאָה 1315 vb
Job 23:10	כִּֽי יָ֭דַע דֶּ֣רֶךְ עִמָּדִ֑/י בְּ֝חָנַ֗/נִי כַּ/זָּהָ֥ב אֵצֵֽא	כִּי עַל כֵּן forasmuch as base יָדַע 943 vb דֶּ֫רֶךְ 715 n עִם prep [בָּחַן] vb זָהָב 385 n יָצָא 1068 vb
Job 23:11	בַּ֭/אֲשֻׁר/וֹ אָחֲזָ֣ה רַגְלִ֑/י דַּרְכּ֖/וֹ שָׁמַ֣רְתִּי וְ/לֹא אָֽט	[אַשֻּׁר] n אָחַז 68 vb רֶ֫גֶל 247 n דֶּ֫רֶךְ 715 n שָׁמַר 465 vb לֹא or לוֹא adv נָטָה 215 vb
Job 23:12	מִצְוַ֣ת שְׂ֭פָתָי/ו וְ/לֹ֣א אָמִ֑ישׁ מֵ֝/חֻקִּ֗/י צָפַ֥נְתִּי אִמְרֵי פִֽי/ו	מִצְוָה 181 n שָׂפָה 176 n לֹא or לוֹא adv [מוּשׁ, מִישׁ] vb חֹק 127 n צָפַן vb אֹמֶר n פֶּה 485 n
Job 23:13	וְ/ה֣וּא בְ֭/אֶחָד וּ/מִ֣י יְשִׁיבֶ֑/נּוּ וְ/נַפְשׁ֖/וֹ אִוְּתָ֣ה וַ/יָּֽעַשׂ	הוּא m אֶחָד 972 adj מִי 423 pron שׁוּב 1056 vb נֶ֫פֶשׁ 756 n [אָוָה] vb [עָשָׂה] vb
Job 23:14	כִּ֭י יַשְׁלִ֣ים חֻקִּ֑/י וְ/כָ/הֵ֖נָּה רַבּ֣וֹת עִמּֽ/וֹ	כִּי עַל כֵּן forasmuch as base [שָׁלַם] vb חֹק 127 n וְ/כָ/הֵ֖נָּה רַב 429 adj עִם prep
Job 23:15	עַל כֵּ֭ן מִ/פָּנָ֣י/ו אֶבָּהֵ֑ל אֶ֝תְבּוֹנֵ֗ן וְ/אֶפְחַ֥ד מִמֶּֽ/נּוּ	עַל, עָ֑ל subst כֵּן adv [פָּנֶה], pl [בָּהַל] vb בִּין vb פָּחַד vb [מֵן] n
